Time (Years),Nominal Cash Flow,Real Cash Flow,Real Net Cash,Discount Rate
0.0,-950.0,-950.0,-950.0,0.02
0.5,44.57356436723731,44.158041859026866,-905.8419581409731,0.00940989434126156
1.0,44.57356436723731,44.124585654349296,-861.7173724866238,0.000758221390216321
1.5,44.57356436723731,42.809916088370024,-818.9074563982538,0.030709463743528065
2.0,44.57356436723731,41.221592876350265,-777.6858635219035,0.03853134003783262
2.5,44.57356436723731,39.66389487392218,-738.0219686479812,0.03927244178564579
3.0,44.57356436723731,37.79614277222878,-700.2258258757524,0.04941647387007338
3.5,44.57356436723731,35.7259751071299,-664.4998507686225,0.057945728811912234
4.0,44.57356436723731,34.42927243591433,-630.0705783327082,0.037662796204282915
4.5,44.57356436723731,33.029197557924796,-597.0413807747834,0.0423890067427207
5.0,44.57356436723731,31.25513866402383,-565.7862421107596,0.056760551055977264
5.5,44.57356436723731,29.72597362549242,-536.0602684852672,0.051442050571558845
6.0,44.57356436723731,27.478535839174935,-508.5817326460923,0.08178884782912661
6.5,44.57356436723731,25.633824720611823,-482.9479079254805,0.07196394368257511
7.0,44.57356436723731,23.977949848053623,-458.96995807742684,0.06905823404633621
7.5,44.57356436723731,21.61176150926578,-437.3581965681611,0.10948613965471399
8.0,44.57356436723731,19.511493208505893,-417.8467033596552,0.10764262264890573
8.5,44.57356436723731,17.27086035490641,-400.5758430047488,0.12973487177568138
9.0,44.57356436723731,15.538427616539362,-385.0374153882094,0.11149343943418184
9.5,44.57356436723731,14.227047556921468,-370.8103678312879,0.09217513713728386
10.0,544.5735643672373,158.31780097241173,-212.4925668588762,0.09790364094971696
