Coupon rate,Balloon payment,No inflation,Constant,Linear
0.005,0.0,113.80149761367281,60.20227175805175,65.5504361835525
0.005,0.1,114.80936282844229,57.39093674160347,61.87066153102943
0.005,0.2,115.8172280432118,54.57960172515527,58.190886878506404
0.005,0.30000000000000004,116.82509325798117,51.76826670870686,54.511112225983126
0.005,0.4,117.83295847275059,48.95693169225858,50.83133757345998
0.005,0.5,118.84082368752013,46.14559667581031,47.15156292093702
0.005,0.6000000000000001,119.84868890228967,43.3342616593621,43.47178826841382
0.005,0.7000000000000001,120.8565541170588,40.522926642913596,39.792013615890575
0.01,0.0,127.70572747289381,73.37139128420755,78.79290548051844
0.01,0.1,129.71221200033344,71.50587902981317,76.06422166303524
0.01,0.2,131.7186965277731,69.64036677541877,73.33553784555191
0.01,0.30000000000000004,133.7251810552125,67.77485452102412,70.60685402806834
0.01,0.4,135.73166558265206,65.90934226662972,67.87817021058507
0.01,0.5,137.73815011009168,64.04383001223542,65.1494863931017
0.01,0.6000000000000001,139.74463463753114,62.17831775784089,62.42080257561834
0.01,0.7000000000000001,141.75111916497065,60.31280550344647,59.69211875813499
0.015,0.0,141.7122874730386,86.63743080309916,92.1328345982051
0.015,0.1,144.7081816004652,85.70901851141238,90.34647023189672
0.015,0.2,147.70407572789168,84.7806062197256,88.56010586558826
0.015,0.30000000000000004,150.6999698553181,83.85219392803863,86.77374149927968
0.015,0.4,153.69586398274464,82.92378163635195,84.98737713297126
0.015,0.5,156.69175811017124,81.99536934466514,83.20101276666287
0.015,0.6000000000000001,159.68765223759772,81.06695705297825,81.41464840035431
0.015,0.7000000000000001,162.68354636502426,80.13854476129139,79.62828403404586
0.02,0.0,155.82076551171326,99.99999999999966,105.56983104789812
0.02,0.1,159.79689661565925,99.99999999999984,104.71705007288416
0.02,0.2,163.77302771960507,99.99999999999972,103.86426909787
0.02,0.30000000000000004,167.74915882355083,99.99999999999972,103.01148812285585
0.02,0.4,171.72528992749653,99.99999999999969,102.15870714784165
0.02,0.5,175.7014210314423,99.99999999999972,101.30592617282745
0.02,0.6000000000000001,179.6775521353881,99.99999999999974,100.45314519781337
0.02,0.7000000000000001,183.65368323933393,99.99999999999983,99.60036422279924
0.025,0.0,170.0307397125107,113.45869930291632,119.10349303205656
0.025,0.1,174.97797313838493,114.37845988506186,119.17559555023503
0.025,0.2,179.92520656425893,115.2982204672072,119.24769806841327
0.025,0.30000000000000004,184.872439990133,116.21798104935263,119.31980058659157
0.025,0.4,189.81967341600694,117.13774163149795,119.39190310476981
0.025,0.5,194.76690684188088,118.05750221364329,119.4640056229481
0.025,0.6000000000000001,199.71414026775506,118.97726279578885,119.53610814112648
0.025,0.7000000000000001,204.661373693629,119.89702337793415,119.60821065930476
0.03,0.0,184.34177865039777,127.01312009606194,132.73340965897216
0.03,0.1,190.2510185718619,128.8440263262321,133.7217327524947
0.03,0.2,196.16025849332613,130.67493255640233,134.71005584601744
0.03,0.30000000000000004,202.06949841479025,132.50583878657233,135.69837893953988
0.03,0.4,207.97873833625454,134.33674501674267,136.6867020330626
0.03,0.5,213.88797825771883,136.1676512469128,137.6750251265851
0.03,0.6000000000000001,219.797218179183,137.99855747708304,138.6633482201077
0.03,0.7000000000000001,225.70645810064707,139.82946370725315,139.65167131363023
0.035,0.0,198.7534415780347,140.66284493420937,146.45916115831832
0.035,0.1,205.61563183601163,143.39631944835423,148.35507968866654
0.035,0.2,212.47782209398844,146.12979396249887,150.2509982190146
0.035,0.30000000000000004,219.3400123519654,148.86326847664373,152.14691674936282
0.035,0.4,226.2022026099421,151.59674299078836,154.04283527971083
0.035,0.5,233.0643928679193,154.33021750493344,155.93875381005927
0.035,0.6000000000000001,239.92658312589595,157.06369201907796,157.8346723404071
0.035,0.7000000000000001,246.78877338387292,159.79716653322276,159.7305908707553
