CouponRate,None,Constant,Linear
0.0,100.0,5.286954692983159,0.8539059136656988
0.005,125.0,28.965216019737326,24.664051155517882
0.01,150.0,52.643477346491494,48.474196397370065
0.015,175.0,76.32173867324566,72.28434163922225
0.02,200.0,99.99999999999983,96.09448688107443
0.025,225.0,123.678261326754,119.9046321229266
0.03,250.0,147.35652265350816,143.7147773647788
0.035,275.0,171.03478398026235,167.52492260663098
