Coupon Rate,Profit,Profit (PV)
0.0,100.0,-38.332768277815376
0.005,125.0,-15.277306898179248
0.01,150.0,7.77815448145688
0.015,175.0,30.833615861092895
0.02,200.0,53.88907724072902
0.025,225.0,76.94453862036515
0.03,250.0,100.00000000000128
0.035,275.0,123.0554613796374
